month,day,hour,minute,identifier,surface_inside_face_temperature,surface_outside_face_temperature
1,1,0,0,office_0..Face0,18.459842516240624,18.0
2,1,0,0,office_0..Face0,18.679256111425907,18.0
3,1,0,0,office_0..Face0,19.14050035362186,18.0
4,1,0,0,office_0..Face0,19.705956188291946,18.0
5,1,0,0,office_0..Face0,21.242856033463017,18.0
6,1,0,0,office_0..Face0,22.288919136163752,18.0
7,1,0,0,office_0..Face0,23.341536033255043,18.0
8,1,0,0,office_0..Face0,22.959170601426678,18.0
9,1,0,0,office_0..Face0,21.846283769182552,18.0
10,1,0,0,office_0..Face0,20.340491626164738,18.0
11,1,0,0,office_0..Face0,19.266668037919235,18.0
12,1,0,0,office_0..Face0,18.711019210304574,18.0
1,1,0,0,office_0..Face1,18.55830700054792,18.420378551542026
2,1,0,0,office_0..Face1,18.763982920758103,18.61413526193093
3,1,0,0,office_0..Face1,19.240617498855286,19.0046945203673
4,1,0,0,office_0..Face1,19.74068320464424,19.37375951427195
5,1,0,0,office_0..Face1,21.425766639331886,20.89083635096362
6,1,0,0,office_0..Face1,22.568024901371437,22.054920010049578
7,1,0,0,office_0..Face1,23.757603202611058,23.35064861683586
8,1,0,0,office_0..Face1,23.342742210002484,22.904080446344206
9,1,0,0,office_0..Face1,22.0737429966632,21.592674008666354
10,1,0,0,office_0..Face1,20.462177485292923,20.044018387033745
11,1,0,0,office_0..Face1,19.35813368802161,19.091479064066252
12,1,0,0,office_0..Face1,18.774719924256548,18.61000004035739
1,1,0,0,office_0..Face2,18.5617904289232,18.428034975508226
2,1,0,0,office_0..Face2,18.76710821915767,18.620982510310505
3,1,0,0,office_0..Face2,19.2442126045326,19.011853588137427
4,1,0,0,office_0..Face2,19.744187818289497,19.38073338126515
5,1,0,0,office_0..Face2,21.431489935186637,20.9005084486796
6,1,0,0,office_0..Face2,22.574526083698597,22.06487268010094
7,1,0,0,office_0..Face2,23.764902574492734,23.36009737374287
8,1,0,0,office_0..Face2,23.34944235493502,22.913824291651427
9,1,0,0,office_0..Face2,22.078305325668072,21.60151468412309
10,1,0,0,office_0..Face2,20.464688038204706,20.051436246635866
11,1,0,0,office_0..Face2,19.360411628325124,19.098206785386886
12,1,0,0,office_0..Face2,18.777122710734425,18.616339545128362
1,1,0,0,office_0..Face3,18.68509679074867,18.796263417239846
2,1,0,0,office_0..Face3,18.911402174664687,19.058584338388616
3,1,0,0,office_0..Face3,19.421507934042936,19.553801130177234
4,1,0,0,office_0..Face3,19.932825571585024,19.952281646087734
5,1,0,0,office_0..Face3,21.671544918105816,21.63659244339052
6,1,0,0,office_0..Face3,22.840258058673523,22.89217744296443
7,1,0,0,office_0..Face3,24.050207093289337,24.26988478563002
8,1,0,0,office_0..Face3,23.626277382106064,23.788461819431024
9,1,0,0,office_0..Face3,22.297814242561888,22.281334870933964
10,1,0,0,office_0..Face3,20.666221612297285,20.652066465996505
11,1,0,0,office_0..Face3,19.530254867508184,19.60424459489079
12,1,0,0,office_0..Face3,18.91186695111143,19.020658184915725
1,1,0,0,office_0..Face4,18.566396955635298,18.344097482263162
2,1,0,0,office_0..Face4,18.801987244595374,18.647552636718483
3,1,0,0,office_0..Face4,19.370313867538798,19.351462383268665
4,1,0,0,office_0..Face4,19.967838375047148,20.05235892485498
5,1,0,0,office_0..Face4,21.779805047172466,21.994467757443534
6,1,0,0,office_0..Face4,22.943832885930554,23.246583433360506
7,1,0,0,office_0..Face4,24.124957723130073,24.548381267442686
8,1,0,0,office_0..Face4,23.693093060110957,24.028115527324978
9,1,0,0,office_0..Face4,22.368788024445372,22.51632035737284
10,1,0,0,office_0..Face4,20.682770459529003,20.692829167145568
11,1,0,0,office_0..Face4,19.469263583481677,19.370339007666132
12,1,0,0,office_0..Face4,18.80647610165328,18.62551509990557
1,1,0,0,office_0..Face5,18.513123710405537,18.187887164623177
2,1,0,0,office_0..Face5,18.745561964555186,18.478620818764803
3,1,0,0,office_0..Face5,19.307668279705055,19.160027512921737
4,1,0,0,office_0..Face5,19.934940982212147,19.950686022568878
5,1,0,0,office_0..Face5,21.776037778138374,21.978849117919477
6,1,0,0,office_0..Face5,22.92338191754203,23.17816493547742
7,1,0,0,office_0..Face5,24.084122670805225,24.41259176467776
8,1,0,0,office_0..Face5,23.65865628460488,23.913380851044664
