year,month,day,hour,minute,identifier,zone_ideal_loads_supply_air_total_cooling_energy,zone_ideal_loads_supply_air_total_heating_energy
2017,1,1,0,0,office_0,0.0,9.905077693328558
2017,2,1,0,0,office_0,0.0,6.97004852819756
2017,3,1,0,0,office_0,0.03037836908248205,5.101012751436475
2017,4,1,0,0,office_0,0.2618424231262243,2.2533160398554553
2017,5,1,0,0,office_0,0.5709776539068119,0.6277049486504889
2017,6,1,0,0,office_0,2.1085520471959165,0.17578068943444397
2017,7,1,0,0,office_0,4.6917910838673675,0.002909620745046007
2017,8,1,0,0,office_0,3.4960592952951277,0.005529323944626204
2017,9,1,0,0,office_0,1.1917004651528675,0.16423153827327588
2017,10,1,0,0,office_0,0.07819165484000377,1.3143228520068082
2017,11,1,0,0,office_0,0.0,3.855552771118568
2017,12,1,0,0,office_0,0.0,6.333132875660246
2017,1,1,0,0,office_1,0.0,18.2587125062764
2017,2,1,0,0,office_1,0.0,12.790314647961594
2017,3,1,0,0,office_1,0.049730849775025586,8.87070348354063
2017,4,1,0,0,office_1,0.5494158581618348,3.6457777623878114
2017,5,1,0,0,office_1,1.13764440247711,0.8099278202957483
2017,6,1,0,0,office_1,4.07418313175284,0.27169979198943933
2017,7,1,0,0,office_1,9.3835073263562,0.003612174135426374
2017,8,1,0,0,office_1,6.257067414821678,0.0024628909206701032
2017,9,1,0,0,office_1,1.8801890449374403,0.1681240604241517
2017,10,1,0,0,office_1,0.1076209329785027,2.3439143873477155
2017,11,1,0,0,office_1,0.0,7.403202955380479
2017,12,1,0,0,office_1,0.0,12.28373103685695
2017,1,1,0,0,office_2,0.00020195251898820577,20.49658538017975
2017,2,1,0,0,office_2,0.0006296115151837232,14.322556742784148
2017,3,1,0,0,office_2,0.31647000904300626,11.217217771260977
2017,4,1,0,0,office_2,0.7225855633774642,5.207850756207376
2017,5,1,0,0,office_2,2.515740986172034,1.5580088606776972
2017,6,1,0,0,office_2,6.389762883497327,0.46413447955656734
2017,7,1,0,0,office_2,12.710714437437787,0.003298788448171845
2017,8,1,0,0,office_2,10.467373017887391,0.017436561511193733
2017,9,1,0,0,office_2,4.439647300011897,0.46571533313287505
2017,10,1,0,0,office_2,0.457180629411265,3.1612981726167453
2017,11,1,0,0,office_2,0.00964695201506987,8.741058455395695
2017,12,1,0,0,office_2,0.00031803560230119366,13.941821948966862
2017,1,1,0,0,office_3,0.0,18.494740377476596
2017,2,1,0,0,office_3,0.0,12.977901003054086
2017,3,1,0,0,office_3,0.04411621852838719,8.953832102342423
2017,4,1,0,0,office_3,0.5628295581446973,3.644478985786877
2017,5,1,0,0,office_3,1.1502341983231588,0.7677689106617839
2017,6,1,0,0,office_3,4.054466038459211,0.2502505521298313
2017,7,1,0,0,office_3,9.372567817770644,0.0023845654132612537
2017,8,1,0,0,office_3,6.2553359281268275,0.0010837839592520333
2017,9,1,0,0,office_3,1.8496776337581655,0.13321411502411934
2017,10,1,0,0,office_3,0.0965221945074391,2.2899175543001205
2017,11,1,0,0,office_3,0.0,7.54458975861001
2017,12,1,0,0,office_3,0.0,12.56311674714861
2017,1,1,0,0,office_4,0.0,16.252418052051492
2017,2,1,0,0,office_4,0.0,11.462476869049002
2017,3,1,0,0,office_4,0.08873913715586386,8.613357353445032
2017,4,1,0,0,office_4,0.4236894232341698,3.749862785060974
2017,5,1,0,0,office_4,1.1629656465105707,0.9207703703391269
2017,6,1,0,0,office_4,3.7048417573753722,0.2657470223534885
2017,7,1,0,0,office_4,7.903303280615398,0.0021594802822584138
2017,8,1,0,0,office_4,5.89987930686464,0.006608007561021796
2017,9,1,0,0,office_4,2.0803279234550995,0.27609308679551625
2017,10,1,0,0,office_4,0.17760551605109773,2.2554595147660987
2017,11,1,0,0,office_4,5.811163691138854e-06,6.575243570631335
2017,12,1,0,0,office_4,2.1381874161579325e-06,10.827192799566763
2017,1,1,0,0,office_5,0.0,7.969317973357676
2017,2,1,0,0,office_5,0.0,5.429436550602543
2017,3,1,0,0,office_5,0.0360521569327084,3.8974356773994905
2017,4,1,0,0,office_5,0.23822677633744227,1.6919262490194116
2017,5,1,0,0,office_5,0.5632630825957738,0.4908920142442433
2017,6,1,0,0,office_5,1.9688673881719643,0.11677298495394317
2017,7,1,0,0,office_5,4.198987830043127,0.0006364333091356862
2017,8,1,0,0,office_5,3.30566765406987,0.0033301509792840744
2017,9,1,0,0,office_5,1.2489380025302286,0.12806677161804
2017,10,1,0,0,office_5,0.09945545840094493,0.9302950717060868
2017,11,1,0,0,office_5,4.773953810915233e-07,2.8656833618738347
2017,12,1,0,0,office_5,0.0,4.772149173812643
2017,1,1,0,0,office_6,0.0,7.896322752622373
2017,2,1,0,0,office_6,0.0,5.348233519710272
2017,3,1,0,0,office_6,0.03698389873041649,3.8028926464731763
2017,4,1,0,0,office_6,0.24527660978710245,1.6456987702438155
2017,5,1,0,0,office_6,0.5855577661887198,0.4752694495568372
2017,6,1,0,0,office_6,2.014202596178104,0.11142914698658983
2017,7,1,0,0,office_6,4.2802961116935165,0.0005387745354218733
2017,8,1,0,0,office_6,3.377116639651912,0.0026954879434082997
2017,9,1,0,0,office_6,1.2861873337820664,0.12316638332958715
2017,10,1,0,0,office_6,0.10358533853877616,0.9081339136033943
2017,11,1,0,0,office_6,6.388106354084438e-07,2.8323893821905424
2017,12,1,0,0,office_6,0.0,4.71197380481001
2017,1,1,0,0,office_7,0.0,8.566958493095045
2017,2,1,0,0,office_7,0.0,5.92102150608963
2017,3,1,0,0,office_7,0.03799873576975408,4.359776454639517
2017,4,1,0,0,office_7,0.23877921223582654,1.920077147431884
2017,5,1,0,0,office_7,0.5717262703530106,0.5670876272901662
2017,6,1,0,0,office_7,1.9959399072399409,0.14719340844235534
2017,7,1,0,0,office_7,4.301261767142596,0.000989656330146166
2017,8,1,0,0,office_7,3.362731825891366,0.005218768413054974
2017,9,1,0,0,office_7,1.2558326260686528,0.15250890810295503
2017,10,1,0,0,office_7,0.10049238970941915,1.053656246850936
2017,11,1,0,0,office_7,1.4511009055577947e-06,3.172131573370847
2017,12,1,0,0,office_7,0.0,5.270583983438869
2017,1,1,0,0,office_8,0.0,7.777353281377488
2017,2,1,0,0,office_8,0.0,5.247260561564199
2017,3,1,0,0,office_8,0.0414771010649959,3.69786745308055
2017,4,1,0,0,office_8,0.2618079718380138,1.5789951867085443
2017,5,1,0,0,office_8,0.6190890716488842,0.44520142006007146
2017,6,1,0,0,office_8,2.087020871525208,0.10565442414179017
2017,7,1,0,0,office_8,4.442710973796366,0.000420907439875063
2017,8,1,0,0,office_8,3.5303379346754014,0.0019194095066413172
2017,9,1,0,0,office_8,1.369025797058756,0.10642558000350985
2017,10,1,0,0,office_8,0.11804313970668241,0.8570381036261072
2017,11,1,0,0,office_8,1.575840329910809e-06,2.7670589705980215
2017,12,1,0,0,office_8,0.0,4.639436287633854
2017,1,1,0,0,office_9,0.0,22.34139026724352
2017,2,1,0,0,office_9,0.0,15.661795145515812
2017,3,1,0,0,office_9,0.1169500653663649,11.449117347493539
2017,4,1,0,0,office_9,0.5448006476200767,4.9741638466123534
2017,5,1,0,0,office_9,2.1547255088188413,1.4260754134810234
2017,6,1,0,0,office_9,6.145885125482404,0.39971263476433183
2017,7,1,0,0,office_9,11.828720743525714,0.0029413986322047074
2017,8,1,0,0,office_9,8.062503383451899,0.018912162501899147
2017,9,1,0,0,office_9,2.4636345150302645,0.4815997249064345
2017,10,1,0,0,office_9,0.1369236807127306,3.2695275401499178
2017,11,1,0,0,office_9,1.4219052106935567e-06,9.354712443141247
2017,12,1,0,0,office_9,0.0,15.343994766028885
2017,1,1,0,0,office_10,0.0,20.48332432506326
2017,2,1,0,0,office_10,0.00018184827970586396,14.08452031876168
2017,3,1,0,0,office_10,0.21955284098327482,10.554613333159065
2017,4,1,0,0,office_10,0.6057279278010257,4.648948889251112
2017,5,1,0,0,office_10,2.4502251864203703,1.3529486505776098
2017,6,1,0,0,office_10,6.404569297433521,0.36938097822444343
2017,7,1,0,0,office_10,12.290769143072794,0.0026472993493002663
2017,8,1,0,0,office_10,9.272023950461076,0.013870478168433923
2017,9,1,0,0,office_10,3.302790023305135,0.416635645114019
2017,10,1,0,0,office_10,0.2508241327674212,2.8842609700848154
2017,11,1,0,0,office_10,5.563032488732847e-05,8.386741715079317
2017,12,1,0,0,office_10,1.186873046760029e-05,13.957026330756015
2017,1,1,0,0,office_11,0.0,21.13235997571819
2017,2,1,0,0,office_11,0.00010078719624431127,14.531959623046115
2017,3,1,0,0,office_11,0.1950242737931028,10.808024091657861
2017,4,1,0,0,office_11,0.5930562600149262,4.691716350585041
2017,5,1,0,0,office_11,2.453883982908063,1.3550853649881196
2017,6,1,0,0,office_11,6.539276722569167,0.36058912149975914
2017,7,1,0,0,office_11,12.4780170252732,0.0020359641061385475
2017,8,1,0,0,office_11,9.158740544103816,0.011624108408883602
2017,9,1,0,0,office_11,3.0837109980677395,0.4124544525969355
2017,10,1,0,0,office_11,0.21172839168902227,2.959320437868748
2017,11,1,0,0,office_11,3.254087101182965e-05,8.668272350536176
2017,12,1,0,0,office_11,6.046516698369186e-06,14.334672241839737
2017,1,1,0,0,office_12,0.0,21.19213352728755
2017,2,1,0,0,office_12,8.885594069839501e-05,14.593876731030939
2017,3,1,0,0,office_12,0.18319465002135635,10.842164427090758
2017,4,1,0,0,office_12,0.5816599299912658,4.697527591114102
2017,5,1,0,0,office_12,2.4106418272033925,1.3428321244132317
2017,6,1,0,0,office_12,6.463811211020847,0.35851180633667484
2017,7,1,0,0,office_12,12.316439501203334,0.0019985419329366432
2017,8,1,0,0,office_12,8.940109181464448,0.011988782991621061
2017,9,1,0,0,office_12,2.96194610888718,0.4104758082404733
2017,10,1,0,0,office_12,0.1972728092452704,2.975673142895483
2017,11,1,0,0,office_12,2.722582124549712e-05,8.71359413195548
2017,12,1,0,0,office_12,4.76971885622849e-06,14.400613069121945
2017,1,1,0,0,office_13,0.0,21.65666218978458
2017,2,1,0,0,office_13,6.717427658239522e-05,14.926335350547753
2017,3,1,0,0,office_13,0.16930592157333993,11.0622743975226
2017,4,1,0,0,office_13,0.5769726034298303,4.800536085621594
2017,5,1,0,0,office_13,2.3948994976755795,1.3766213924573774
2017,6,1,0,0,office_13,6.482016823127203,0.37325908414182896
2017,7,1,0,0,office_13,12.352556225156256,0.001907086841516866
2017,8,1,0,0,office_13,8.836990847301353,0.012732853441263776
2017,9,1,0,0,office_13,2.8638599624153622,0.4267588373139381
2017,10,1,0,0,office_13,0.17989347919776563,3.0929715603075993
2017,11,1,0,0,office_13,1.5675179405030743e-05,8.967217011619733
2017,12,1,0,0,office_13,4.5335860175961993e-07,14.770684018740578
2017,1,1,0,0,office_14,0.0,21.854203976466856
2017,2,1,0,0,office_14,3.6945881699078954e-05,15.108917730456797
2017,3,1,0,0,office_14,0.15642787926189725,11.163470002857204
2017,4,1,0,0,office_14,0.5670221949915957,4.83468337795706
2017,5,1,0,0,office_14,2.3456376466215194,1.3848162885963142
2017,6,1,0,0,office_14,6.413481557049618,0.37661032760791946
2017,7,1,0,0,office_14,12.225610120110147,0.0019134031254024642
2017,8,1,0,0,office_14,8.643703623176041,0.013234694712766996
2017,9,1,0,0,office_14,2.751789478408141,0.433840078028352
2017,10,1,0,0,office_14,0.1653146063950466,3.141100110095607
2017,11,1,0,0,office_14,8.78391867292695e-06,9.082938206575028
2017,12,1,0,0,office_14,2.551787957458985e-07,14.945096910921187
2017,1,1,0,0,office_15,0.0,22.028564830131522
2017,2,1,0,0,office_15,0.0,15.298073971874825
2017,3,1,0,0,office_15,0.14400182098649808,11.269955047806592
2017,4,1,0,0,office_15,0.5564460857057786,4.873415332267656
2017,5,1,0,0,office_15,2.28936617817517,1.392571689080035
2017,6,1,0,0,office_15,6.321522978866592,0.37898535826764557
2017,7,1,0,0,office_15,12.07338333091792,0.0019659622985566325
2017,8,1,0,0,office_15,8.43535863921942,0.013796430591307309
2017,9,1,0,0,office_15,2.6441606518724976,0.4397884660263558
2017,10,1,0,0,office_15,0.1522453090598473,3.182504076859096
2017,11,1,0,0,office_15,2.9732746233694854e-06,9.195830502625029
2017,12,1,0,0,office_15,0.0,15.09732092450846
2017,1,1,0,0,office_16,0.0,22.184824735639868
2017,2,1,0,0,office_16,0.0,15.469969060108058
2017,3,1,0,0,office_16,0.13231865235005807,11.362514904315335
2017,4,1,0,0,office_16,0.5464831399383213,4.907502412071547
2017,5,1,0,0,office_16,2.2269891277286944,1.3991366936429386
2017,6,1,0,0,office_16,6.222829118583034,0.3807985620684162
2017,7,1,0,0,office_16,11.90977570070236,0.002029362485707196
2017,8,1,0,0,office_16,8.234244237157617,0.014319821830804708
2017,9,1,0,0,office_16,2.546595660914277,0.4461060817526327
2017,10,1,0,0,office_16,0.14137117675901498,3.2192009803565975
2017,11,1,0,0,office_16,2.4923514330069202e-06,9.292413117688522
2017,12,1,0,0,office_16,0.0,15.223316604157024
2017,1,1,0,0,office_17,0.0,22.312643530351917
2017,2,1,0,0,office_17,0.0,15.611500822708619
2017,3,1,0,0,office_17,0.12182141540183763,11.443957133646823
2017,4,1,0,0,office_17,0.5378850292757706,4.938371857365794
2017,5,1,0,0,office_17,2.1708657545922465,1.4065224397184648
2017,6,1,0,0,office_17,6.131806828028692,0.3844154427401166
2017,7,1,0,0,office_17,11.765623256487938,0.002179624131391759
2017,8,1,0,0,office_17,8.057317747820964,0.015387112369963188
2017,9,1,0,0,office_17,2.4626616357098237,0.4557338939175885
2017,10,1,0,0,office_17,0.13368009438873332,3.251412413173536
2017,11,1,0,0,office_17,2.0113414188201945e-06,9.370757398186791
2017,12,1,0,0,office_17,0.0,15.344237729497733
2017,1,1,0,0,office_18,0.0,19.17696868210503
2017,2,1,0,0,office_18,0.0,13.433766340040801
2017,3,1,0,0,office_18,0.04336733461209675,9.238928627945985
2017,4,1,0,0,office_18,0.6047537215195036,3.7701264166863186
2017,5,1,0,0,office_18,1.2450543026327645,0.8004743348263524
2017,6,1,0,0,office_18,4.257820531574653,0.2664620137678383
2017,7,1,0,0,office_18,9.851013270983401,0.002493874249781229
2017,8,1,0,0,office_18,6.563332974740634,0.0010420528139394498
2017,9,1,0,0,office_18,1.9255187850838849,0.13594385947617316
2017,10,1,0,0,office_18,0.09624052292391529,2.405213221723658
2017,11,1,0,0,office_18,0.0,7.93904384119111
2017,12,1,0,0,office_18,0.0,13.151660424248766
2017,1,1,0,0,office_19,0.0,20.904008863006272
2017,2,1,0,0,office_19,0.00014288236711617767,14.379898338254689
2017,3,1,0,0,office_19,0.20695157701442143,10.735584809230113
2017,4,1,0,0,office_19,0.5998010098632696,4.679404781674922
2017,5,1,0,0,office_19,2.470452635327634,1.3589054584231985
2017,6,1,0,0,office_19,6.53766389657064,0.36288476178237267
2017,7,1,0,0,office_19,12.47825528388606,0.0021599678153339788
2017,8,1,0,0,office_19,9.265172749183472,0.011911126160191052
2017,9,1,0,0,office_19,3.1903837685277363,0.4128501727985834
2017,10,1,0,0,office_19,0.2288205152404069,2.9344606226247087
2017,11,1,0,0,office_19,3.804029387209362e-05,8.576060058431114
2017,12,1,0,0,office_19,1.2709612289162392e-05,14.191476605079023
2017,1,1,0,0,office_20,0.0,19.06638802256915
2017,2,1,0,0,office_20,0.0,13.282704792585116
2017,3,1,0,0,office_20,0.04428830662389955,9.068294700048162
2017,4,1,0,0,office_20,0.6391462229113258,3.6834111047010873
2017,5,1,0,0,office_20,1.3211785350750878,0.7831483395701436
2017,6,1,0,0,office_20,4.3855642002705455,0.2614740447687947
2017,7,1,0,0,office_20,10.141971021799142,0.0022257603497058383
2017,8,1,0,0,office_20,6.82059538236644,0.0007558163175051202
2017,9,1,0,0,office_20,2.0223798741088124,0.12478513152787973
2017,10,1,0,0,office_20,0.0997866835357067,2.320799779212117
2017,11,1,0,0,office_20,0.0,7.8855424603588355
2017,12,1,0,0,office_20,0.0,13.090492261134706
2017,1,1,0,0,office_21,0.0,19.167186571981397
2017,2,1,0,0,office_21,0.0,13.38916438938847
2017,3,1,0,0,office_21,0.04388744021525877,9.165674024697939
2017,4,1,0,0,office_21,0.6239984420535285,3.722547882927436
2017,5,1,0,0,office_21,1.2910424002899532,0.7904341598940626
2017,6,1,0,0,office_21,4.3362471256366915,0.26328147449337996
2017,7,1,0,0,office_21,10.02628291393603,0.0023191156193494585
2017,8,1,0,0,office_21,6.7096852140907055,0.0008210915010064832
2017,9,1,0,0,office_21,1.975524673906872,0.12980991935353262
2017,10,1,0,0,office_21,0.09804390286645842,2.367207519506414
2017,11,1,0,0,office_21,0.0,7.936898214954847
2017,12,1,0,0,office_21,0.0,13.16202171724945
2017,1,1,0,0,office_22,0.0,18.948911728189145
2017,2,1,0,0,office_22,0.0,13.168602709831895
2017,3,1,0,0,office_22,0.04476701125674522,8.97297055322498
2017,4,1,0,0,office_22,0.6537493525048037,3.6511282470856385
2017,5,1,0,0,office_22,1.3503650366445068,0.7786080635435538
2017,6,1,0,0,office_22,4.430844174099152,0.2605710288948992
2017,7,1,0,0,office_22,10.251492476119283,0.00218283744665099
2017,8,1,0,0,office_22,6.928312023347579,0.0007214978533165612
2017,9,1,0,0,office_22,2.0730217509591564,0.12070839292701153
2017,10,1,0,0,office_22,0.1016958454047433,2.2775519662906643
2017,11,1,0,0,office_22,0.0,7.827157047359306
2017,12,1,0,0,office_22,0.0,13.003029585571205
2017,1,1,0,0,office_23,0.0,18.841440155590902
2017,2,1,0,0,office_23,0.0,13.065155181444165
